City,Cloudiness (%),Humidity (%),Latitude,Longitude,Temperature (F),Wind Speed (mph)
Butaritari,64,57,3.07,-68.31,82.87,20.87
Tadine,0,57,-21.55,-68.31,77.65,34.87
Yulara,0,57,-25.24,-68.31,64.4,15.5
Namatanai,68,57,-3.66,-68.31,83.05,20.36
Opotiki,92,57,-38.01,-68.31,64.15,52.39
Dombas,76,57,62.07,-68.31,40.3,4.09
Salinopolis,44,57,-0.61,-68.31,82.78,24.36
Katsuura,0,57,33.93,-68.31,47.23,13.35
Bintulu,75,57,3.17,-68.31,77.0,15.5
Veseloyarsk,12,57,51.29,-68.31,29.5,6.35
Redmond,90,57,47.67,-68.31,45.0,15.5
Toora-Khem,0,57,52.47,-68.31,16.45,5.35
Faro,75,57,37.02,-68.31,60.8,28.52
Kaduqli,0,57,11.01,-68.31,79.0,4.85
Vila Franca do Campo,20,57,37.72,-68.31,60.8,36.04
Belyy Yar,0,57,53.6,-68.31,35.6,10.0
Chipiona,90,57,36.74,-68.31,62.6,31.03
Loukhi,12,57,66.08,-68.31,27.61,6.85
Bambous Virieux,75,57,-20.34,-68.31,80.6,33.53
Shebalino,12,57,51.29,-68.31,21.58,4.36
Touros,44,57,-5.2,-68.31,80.89,20.36
Liverpool,92,57,44.04,-68.31,33.55,12.62
Maracai,88,57,-22.61,-68.31,76.48,34.14
Tumarbong,0,57,10.38,-68.31,81.7,30.13
Evensk,0,57,61.92,-68.31,17.35,15.86
Partyzany,0,57,45.14,-68.31,47.68,21.36
Ahipara,92,57,-35.17,-68.31,65.59,44.9
Korem,56,57,12.51,-68.31,59.56,2.59
Ewa Beach,1,57,21.32,-68.31,72.52,10.51
Casa Grande,1,57,32.88,-68.31,68.54,18.01
Vanimo,8,57,-2.67,-68.31,84.04,19.62
Nombre de Dios,5,57,23.85,-68.31,57.2,10.36
Ondjiva,24,57,-17.07,-68.31,75.67,11.61
Biltine,8,57,14.53,-68.31,81.34,10.85
Haines Junction,88,57,60.75,-68.31,24.46,6.11
Mulanje,56,57,-16.03,-68.31,69.1,9.1
Santa Cruz,0,57,10.26,-68.31,91.4,25.52
Santa Clara,88,57,21.37,-68.31,75.04,51.65
Lieksa,0,57,63.32,-68.31,34.45,10.6
Bud,0,57,62.91,-68.31,55.49,13.02
Labuan,75,57,5.33,-68.31,83.41,7.52
Nanortalik,90,57,60.14,-68.31,42.8,13.02
Yar,8,57,58.24,-68.31,32.56,25.12
Ciudad Ojeda,8,57,10.22,-68.31,89.08,11.12
Ostrovnoy,76,57,68.05,-68.31,27.79,19.13
Yar-Sale,88,57,66.83,-68.31,12.94,27.87
Aitape,36,57,-3.15,-68.31,80.53,12.37
San Andres,75,57,8.22,-68.31,86.0,18.01
Kavieng,88,57,-2.57,-68.31,84.13,22.12
Kruisfontein,0,57,-34.0,-68.31,67.66,30.62
Santa Cruz del Sur,8,57,20.71,-68.31,91.69,23.87
Labuhan,68,57,-2.54,-68.31,74.41,4.36
Muzhi,80,57,65.4,-68.31,17.17,39.88
Geraldton,92,57,-28.77,-68.31,64.4,5.01
Wanning,80,57,18.8,-68.31,72.34,39.12
Panguna,0,57,-6.32,-68.31,73.06,5.86
Dustlik,92,57,40.53,-68.31,57.76,8.1
Betafo,8,57,-19.84,-68.31,55.33,9.1
Oranjemund,20,57,-28.55,-68.31,62.35,3.11
Sitka,0,57,37.17,-68.31,47.05,41.63
Great Bend,1,57,38.36,-68.31,33.8,56.55
Korsakov,44,57,46.63,-68.31,26.6,25.01
Yumen,0,57,40.29,-68.31,37.51,8.37
Sao Joao da Barra,75,57,-21.64,-68.31,80.6,25.52
Mandera,8,57,3.94,-68.31,74.68,7.36
Port Augusta,40,57,-32.49,-68.31,60.8,7.52
Bon Air,90,57,37.52,-68.31,76.12,25.52
Atherton,75,57,-17.27,-68.31,78.8,31.03
Tucurui,36,57,-3.77,-68.31,81.34,5.35
The Valley,20,57,18.22,-68.31,82.4,41.03
La Sarre,64,57,48.8,-68.31,22.48,31.38
Hosangadi,24,57,13.7,-68.31,74.95,5.35
Nikolskoye,0,57,59.7,-68.31,57.2,25.01
Toda Raisingh,0,57,26.03,-68.31,79.63,17.6
Hilo,90,57,19.71,-68.31,69.8,15.5
Saint-Augustin,90,57,45.63,-68.31,27.9,33.53
Oranjestad,40,57,12.52,-68.31,87.8,51.54
Meulaboh,56,57,4.14,-68.31,79.99,9.35
Saint George,20,57,32.38,-68.31,71.6,20.51
Sibolga,92,57,1.74,-68.31,70.27,3.11
Motala,80,57,58.54,-68.31,49.46,10.51
Seoul,1,57,37.57,-68.31,44.29,15.5
Ancud,8,57,-41.87,-68.31,65.77,19.13
Punta Arenas,20,57,-53.16,-68.31,53.6,51.54
Navsari,8,57,20.95,-68.31,79.54,21.12
Mmabatho,40,57,-25.85,-68.31,73.4,7.52
Auki,0,57,-8.77,-68.31,77.65,5.61
Jiaohe,0,57,43.72,-68.31,24.55,5.61
Ndele,8,57,8.41,-68.31,87.46,5.61
Vysokogornyy,0,57,50.1,-68.31,12.13,4.61
Moulins,0,57,46.57,-68.31,66.2,15.5
Gokak,0,57,16.17,-68.31,76.66,19.62
Praia da Vitoria,20,57,38.73,-68.31,64.4,67.91
Barcelos,24,57,-0.97,-68.31,88.18,8.37
Opuwo,20,57,-18.06,-68.31,73.78,9.6
Fort Nelson,90,57,58.81,-68.31,26.6,20.51
Kachug,0,57,53.96,-68.31,20.05,7.11
Mombetsu,92,57,44.35,-68.31,32.2,46.64
Point Pedro,56,57,9.82,-68.31,83.05,12.62
Adrar,0,57,27.87,-68.31,78.8,36.04
Berezovka,36,57,57.6,-68.31,34.18,22.62
Passos,92,57,-20.72,-68.31,73.78,10.36
Ballina,0,57,-28.87,-68.31,71.53,21.88
San Cristobal,68,57,-1.02,-68.31,67.75,7.85
Isiro,68,57,2.77,-68.31,73.51,6.6
Kieta,88,57,-6.22,-68.31,79.81,6.85
Pasir Gudang,0,57,1.46,-68.31,77.88,7.52
Thompson,40,57,55.74,-68.31,33.8,25.52
Dunmore East,92,57,52.15,-68.31,49.12,45.63
Salisbury,90,57,38.37,-68.31,51.82,33.53
Port Elizabeth,0,57,-33.92,-68.31,68.0,23.02
Norman Wells,90,57,65.28,-68.31,3.2,33.53
Borgarnes,90,57,64.54,-68.31,48.2,28.52
Deputatskiy,36,57,69.3,-68.31,1.78,5.86
Hasaki,75,57,35.73,-68.31,50.85,13.02
Cabinda,20,57,-5.56,-68.31,86.0,13.02
Pangai,0,57,-19.8,-68.31,78.28,46.39
Karwar,12,57,14.8,-68.31,77.56,3.85
Isangel,92,57,-19.55,-68.31,78.82,35.63
Matamoros,5,57,25.53,-68.31,64.4,20.62
Launceston,90,57,-41.43,-68.31,51.8,49.03
Hongjiang,92,57,27.21,-68.31,48.4,4.85
Staryy Krym,0,57,45.03,-68.31,47.68,21.36
Castro,68,57,-42.48,-68.31,63.88,18.37
Dunedin,88,57,-45.87,-68.31,54.53,30.62
Sulangan,0,57,11.14,-68.31,83.86,34.63
Kodiak,90,57,39.95,-68.31,28.4,54.04
Treuchtlingen,75,57,48.96,-68.31,62.96,5.01
Naze,76,57,28.37,-68.31,65.41,29.86
Acapulco,5,57,16.86,-68.31,86.0,14.36
Sao Felix do Xingu,76,57,-6.64,-68.31,83.05,6.6
Lagoa,75,57,37.14,-68.31,60.8,28.52
Barabinsk,92,57,55.35,-68.31,40.03,29.12
Neiafu,20,57,-18.65,-68.31,73.4,13.02
Granada,24,57,10.67,-68.31,77.2,15.86
Huarmey,8,57,-10.07,-68.31,80.44,9.35
Biharamulo,92,57,-2.64,-68.31,62.08,13.35
Marathon,90,57,48.72,-68.31,21.2,41.03
Beloha,68,57,-25.17,-68.31,76.3,18.37
Turayf,40,57,31.68,-68.31,77.0,25.52
High Level,90,57,58.52,-68.31,30.2,36.04
Ylojarvi,90,57,61.56,-68.31,50.0,10.51
Chancay,0,57,-11.56,-68.31,74.95,9.35
Saint-Pierre,40,57,46.77,-68.31,30.2,74.56
Semey,36,57,50.41,-68.31,34.0,11.61
Saurimo,75,57,-9.66,-68.31,84.2,5.86
Kaka,92,57,37.35,-68.31,47.95,7.36
Iralaya,75,57,15.0,-68.31,86.0,18.37
Broome,0,57,-17.97,-68.31,86.0,15.5
Albany,12,57,-35.02,-68.31,50.74,13.11
Dawlatabad,88,57,36.41,-68.31,50.47,7.36
Te Anau,80,57,-45.41,-68.31,49.75,29.37
Preobrazheniye,36,57,42.9,-68.31,27.43,4.36
Rach Gia,12,57,10.02,-68.31,79.63,12.86
Thunder Bay,90,57,48.41,-68.31,24.8,36.04
Mount Gambier,92,57,-37.83,-68.31,60.28,22.62
Cockburn Town,24,57,21.46,-68.31,78.46,51.65
Antofagasta,20,57,-23.65,-68.31,68.0,23.02
Talnakh,76,57,69.49,-68.31,17.17,9.35
Hamilton,20,57,32.3,-68.31,71.6,20.51
Westport,75,57,53.8,-68.31,55.4,38.52
Zhangye,0,57,38.94,-68.31,36.61,12.86
Sao Paulo de Olivenca,88,57,-3.38,-68.31,79.99,4.09
Boueni,0,57,-12.9,-68.31,82.4,10.51
Caohai,92,57,26.87,-68.31,40.93,8.1
Vagur,88,57,61.47,-68.31,44.98,43.13
Lavrentiya,92,57,65.58,-68.31,32.29,75.16
Mahebourg,75,57,-20.41,-68.31,80.6,33.53
Gambela,24,57,8.25,-68.31,68.2,3.85
Dobson,92,57,-42.45,-68.31,52.63,3.6
Marsaxlokk,0,57,35.84,-68.31,64.4,25.52
Bonfim,75,57,-20.33,-68.31,81.14,18.01
Astana,0,57,51.13,-68.31,41.0,10.0
Lugo,88,57,43.01,-68.31,49.3,11.12
Abu Kamal,0,57,34.45,-68.31,70.36,30.87
Kaman,48,57,27.65,-68.31,72.43,6.35
Samarai,24,57,-10.62,-68.31,81.88,23.38
Moron,20,57,47.38,-68.31,30.85,15.86
Canutama,32,57,-6.53,-68.31,84.22,9.1
Oistins,20,57,13.07,-68.31,84.2,49.03
Lisakovsk,80,57,52.55,-68.31,42.19,22.37
Kimbe,8,57,-5.56,-68.31,78.55,10.36
Hualmay,0,57,-11.1,-68.31,74.95,9.35
Walvis Bay,48,57,-22.95,-68.31,71.6,25.52
Dzhebariki-Khaya,0,57,62.22,-68.31,13.93,5.35
San Carlos del Zulia,24,57,9.0,-68.31,91.51,2.1
Kouqian,0,57,43.66,-68.31,27.7,9.35
Ponta Delgada,20,57,37.73,-68.31,60.8,36.04
Sola,44,57,-13.88,-68.31,81.34,37.63
Rumoi,44,57,43.93,-68.31,33.55,24.11
Longyearbyen,75,57,78.22,-68.31,24.8,10.51
Svetlogorsk,75,57,53.14,-68.31,42.8,15.01
Lakes Entrance,36,57,-37.88,-68.31,65.95,31.88
Shache,0,57,38.42,-68.31,46.15,6.6
Fereydun Kenar,75,57,36.69,-68.31,48.99,10.51
Mirnyy,68,57,56.57,-68.31,56.05,18.86
Corrientes,90,57,-27.47,-68.31,72.48,13.02
Atasu,88,57,48.68,-68.31,41.56,29.12
Puerto Ayora,20,57,-0.74,-68.31,78.8,23.02
Itoigawa,92,57,37.02,-68.31,45.52,27.63
Denpasar,24,57,-8.65,-68.31,71.8,3.85
Amga,0,57,60.89,-68.31,19.6,6.11
Kondinskoye,92,57,59.65,-68.31,31.21,16.11
Bitkine,0,57,11.98,-68.31,87.64,9.86
Thinadhoo,56,57,0.53,-68.31,83.5,11.36
Santa Rosa,0,57,-36.62,-68.31,76.12,36.37
Batesville,90,57,35.77,-68.31,39.2,28.52
Srednekolymsk,48,57,67.46,-68.31,5.38,5.1
Henties Bay,44,57,-22.12,-68.31,73.33,16.62
Coswig,0,57,51.13,-68.31,66.2,15.5
Cabo San Lucas,5,57,22.89,-68.31,74.35,18.01
Todos Santos,5,57,23.45,-68.31,75.2,7.11
Vaini,20,57,-21.2,-68.31,73.4,13.02
Dongkan,0,57,34.0,-68.31,42.19,12.86
Cape Town,0,57,-33.93,-68.31,64.4,36.04
Moron,40,57,22.11,-68.31,86.0,31.03
Kamenka,0,57,53.19,-68.31,39.49,19.62
Salina,40,57,36.29,-68.31,35.94,43.53
Sept-Iles,5,57,50.2,-68.31,26.6,25.52
Hami,0,57,42.84,-68.31,47.05,10.6
Ayagoz,92,57,47.96,-68.31,47.41,13.35
Tiksi,92,57,71.64,-68.31,29.95,8.86
Douentza,0,57,15.01,-68.31,92.05,13.87
Balyaga,92,57,51.15,-68.31,36.52,15.12
Taoudenni,0,57,22.68,-68.31,85.48,17.36
Nalut,48,57,31.86,-68.31,66.58,32.37
Waingapu,12,57,-9.65,-68.31,73.6,9.1
Atbasar,0,57,51.81,-68.31,33.1,19.13
Rawson,0,57,-43.3,-68.31,83.14,23.38
Kapaa,90,57,22.08,-68.31,66.83,25.52
Katherine,0,57,-14.47,-68.31,71.6,13.02
Ziro,44,57,27.54,-68.31,52.63,3.6
Nan,92,57,18.78,-68.31,68.47,6.6
Ken Caryl,20,57,39.58,-68.31,46.74,13.02
Atar,0,57,20.52,-68.31,87.28,9.86
Tecoanapa,5,57,16.99,-68.31,86.0,13.11
Kailua,20,57,21.39,-68.31,72.46,20.51
Mayo,20,57,63.59,-68.31,15.8,20.51
Kilindoni,92,57,-7.91,-68.31,78.64,27.38
Senneterre,75,57,48.39,-68.31,23.0,28.52
Tutoia,40,57,-2.76,-68.31,89.6,23.02
Ust-Kuyga,8,57,70.0,-68.31,11.59,10.85
Saldanha,0,57,-33.01,-68.31,80.6,25.52
Mount Darwin,88,57,-16.77,-68.31,76.75,20.11
Muroto,0,57,33.37,-68.31,46.78,21.12
Husavik,75,57,66.04,-68.31,46.4,31.03
Reconquista,20,57,-29.14,-68.31,76.3,13.35
Yellowknife,75,57,62.45,-68.31,19.4,43.53
Arraial do Cabo,75,57,-22.97,-68.31,73.4,20.51
Saint-Ambroise,40,57,48.56,-68.31,15.62,20.51
Matagami,1,57,49.76,-68.31,19.4,15.5
Qaanaaq,12,57,77.48,-68.31,-0.12,15.61
Georgetown,100,57,-7.93,-68.31,78.64,19.86
Petrovsk-Zabaykalskiy,92,57,51.27,-68.31,37.33,17.36
Mar del Plata,0,57,-46.43,-68.31,76.03,20.11
Athens,90,57,33.96,-68.31,62.92,7.52
Matara,12,57,5.95,-68.31,78.1,8.86
Sinnamary,92,57,5.38,-68.31,76.57,16.11
Tuktoyaktuk,40,57,69.44,-68.31,-4.74,10.51
Sicamous,90,57,50.84,-68.31,32.0,5.01
Tomatlan,0,57,19.93,-68.31,87.28,8.1
Hailar,24,57,49.2,-68.31,21.85,18.37
Porto-Vecchio,75,57,41.59,-68.31,65.57,13.02
Karlstad,75,57,59.38,-68.31,46.4,5.01
Kericho,80,57,-0.37,-68.31,55.51,6.85
Cedar City,1,57,37.68,-68.31,57.2,20.51
La Carlota,90,57,37.67,-68.31,62.6,25.52
Galle,12,57,6.04,-68.31,78.1,8.86
Estacion Coahuila,1,57,32.19,-68.31,72.45,13.02
Boa Vista,44,57,2.82,-68.31,84.58,8.86
Klyuchi,0,57,52.25,-68.31,34.63,18.37
Chop,75,57,48.43,-68.31,75.2,10.85
Winneba,20,57,5.35,-68.31,86.0,33.53
Muros,75,57,42.77,-68.31,48.2,15.5
East London,40,57,-33.02,-68.31,68.0,18.01
Upernavik,24,57,72.79,-68.31,7.81,33.38
Khatanga,56,57,71.98,-68.31,11.86,29.62
Letlhakeng,12,57,-24.1,-68.31,68.65,15.37
Fairbanks,1,57,64.84,-68.31,15.8,31.03
Pevek,32,57,69.7,-68.31,6.55,8.86
Lola,36,57,7.8,-68.31,74.23,8.61
Togur,80,57,58.36,-68.31,34.63,25.61
Puerto Ayacucho,75,57,5.66,-68.31,84.2,7.52
Tanout,8,57,14.97,-68.31,93.85,14.12
New Norfolk,20,57,-42.78,-68.31,55.4,46.53
Kamiiso,12,57,41.82,-68.31,34.54,16.35
Weligama,12,57,5.97,-68.31,78.1,8.86
Iquique,0,57,-20.22,-68.31,71.6,25.52
Pacific Grove,1,57,36.62,-68.31,55.4,15.5
Aksarka,68,57,66.56,-68.31,14.92,27.87
Arkhipo-Osipovka,0,57,44.37,-68.31,54.43,28.36
Bethel,90,57,60.79,-68.31,37.4,23.02
Paamiut,0,57,61.99,-68.31,27.88,36.89
Tilichiki,64,57,60.47,-68.31,19.78,11.61
Azare,68,57,11.67,-68.31,94.21,10.36
Alice Springs,0,57,-23.7,-68.31,57.2,10.51
Grindavik,75,57,63.84,-68.31,47.35,33.53
Vila Velha,40,57,-3.71,-68.31,86.0,18.01
Kawalu,92,57,-7.38,-68.31,70.0,3.6
Constitucion,5,57,23.99,-68.31,57.2,10.36
Shakawe,32,57,-18.36,-68.31,78.91,17.36
Morogoro,92,57,-6.82,-68.31,69.28,2.1
Calderitas,90,57,18.55,-68.31,73.4,9.35
Comodoro Rivadavia,0,57,-45.87,-68.31,75.2,38.52
Port Alfred,0,57,-33.59,-68.31,69.73,25.86
Carnarvon,0,57,-24.87,-68.31,73.42,20.62
Gryfino,0,57,53.25,-68.31,69.8,22.37
Lompoc,1,57,34.64,-68.31,56.66,7.52
Saint-Pierre,0,57,-21.34,-68.31,75.2,13.02
Saint-Philippe,0,57,-21.36,-68.31,75.2,13.02
Mongoumba,12,57,3.64,-68.31,73.6,3.36
Correntina,20,57,-13.34,-68.31,81.79,19.62
Najran,40,57,17.54,-68.31,86.0,15.5
Martapura,20,57,-3.41,-68.31,77.83,10.11
Tautira,75,57,-17.73,-68.31,75.2,7.52
Luanda,40,57,-8.83,-68.31,82.4,15.5
Shelburne,90,57,44.08,-68.31,29.05,25.52
Nawa,0,57,32.89,-68.31,62.26,16.35
Acajutla,0,57,13.59,-68.31,85.53,7.52
Homer,1,57,59.64,-68.31,29.26,7.85
Milevsko,56,57,49.45,-68.31,64.33,11.12
Jos,56,57,9.92,-68.31,75.4,5.61
Petropavlovsk-Kamchatskiy,0,57,53.05,-68.31,26.6,10.0
Suicheng,8,57,33.9,-68.31,41.92,5.1
Caraguatay,20,57,-25.24,-68.31,82.4,7.52
Jaspur,44,57,29.28,-68.31,69.46,5.61
Karratha,20,57,-20.74,-68.31,66.31,13.11
Camacha,20,57,33.08,-68.31,68.0,25.52
Contepec,0,57,19.95,-68.31,73.15,1.61
Brodokalmak,40,57,55.57,-68.31,44.6,40.04
Egvekinot,88,57,66.32,-68.31,18.43,10.6
Kaitangata,64,57,-46.28,-68.31,57.04,25.86
Honiara,20,57,-9.43,-68.31,75.2,1.86
Anadyr,90,57,64.73,-68.31,30.2,65.05
Eyl,12,57,7.98,-68.31,79.72,11.61
Rikitea,0,57,-23.12,-68.31,80.08,32.12
Luwuk,80,57,-0.95,-68.31,76.12,7.85
Lorengau,24,57,-2.02,-68.31,79.9,9.86
Cap Malheureux,75,57,-19.98,-68.31,80.6,33.53
Ribeira Grande,40,57,38.52,-68.31,60.8,51.54
Yuzhne,0,57,48.22,-68.31,64.4,25.01
Pyapon,0,57,16.29,-68.31,78.91,18.61
Jamame,44,57,0.07,-68.31,81.88,28.36
Guerrero Negro,0,57,27.97,-68.31,79.27,10.6
Caravelas,12,57,-17.73,-68.31,81.16,24.63
Tocopilla,44,57,-22.09,-68.31,68.2,13.6
Ushuaia,40,57,-54.81,-68.31,51.8,33.53
Boyolangu,56,57,-8.09,-68.31,70.63,5.86
Ornskoldsvik,0,57,63.29,-68.31,49.17,10.51
Tawau,75,57,4.26,-68.31,77.0,13.02
Margate,80,57,-30.86,-68.31,69.28,8.1
Busselton,0,57,-33.64,-68.31,61.45,40.38
Mattru,32,57,7.62,-68.31,87.37,14.61
Cobija,75,57,-11.03,-68.31,84.2,13.35
Myitkyina,36,57,25.38,-68.31,65.41,6.85
Ostrovskoye,20,57,57.81,-68.31,41.47,15.12
Sorland,0,57,67.67,-68.31,44.6,20.51
Aguimes,20,57,27.91,-68.31,68.0,59.06
Nueva Germania,0,57,-23.91,-68.31,84.58,8.61
Hobyo,32,57,5.35,-68.31,79.81,11.12
Harper,48,57,4.38,-68.31,82.33,28.36
Coihaique,75,57,-45.58,-68.31,65.41,13.02
Jumla,0,57,29.28,-68.31,30.31,5.86
Amzacea,0,57,43.96,-68.31,55.4,20.51
Conde,12,57,-11.81,-68.31,85.3,26.37
Dikson,68,57,73.51,-68.31,10.6,30.13
Hermanus,0,57,-34.42,-68.31,64.6,11.86
Taizhou,0,57,32.48,-68.31,40.75,6.6
Zilair,24,57,52.23,-68.31,33.37,16.62
Richards Bay,92,57,-28.77,-68.31,69.73,9.1
Ambilobe,8,57,-13.19,-68.31,79.9,16.87
Ilulissat,0,57,69.22,-68.31,15.8,23.02
Severo-Kurilsk,88,57,50.68,-68.31,28.33,8.1
Portland,0,57,-33.35,-68.31,56.05,16.11
Pemberton,90,57,50.32,-68.31,37.4,3.85
Kulu,64,57,39.09,-68.31,57.94,11.12
Kolchugino,0,57,56.3,-68.31,42.73,7.11
Kirkuk,36,57,35.47,-68.31,60.91,17.87
Hayange,0,57,49.33,-68.31,62.56,10.51
Argayash,40,57,55.49,-68.31,44.6,40.04
Ratnagiri,0,57,16.98,-68.31,81.79,21.61
Bulandshahr,32,57,28.41,-68.31,76.75,6.6
Padang,92,57,-0.92,-68.31,77.2,11.36
Baoqing,0,57,46.32,-68.31,27.88,13.87
Shepsi,24,57,44.04,-68.31,55.87,16.62
Chokurdakh,20,57,70.62,-68.31,-3.54,16.11
Yilan,0,57,43.11,-68.31,29.32,7.11
Smithers,90,57,54.78,-68.31,30.2,5.01
Narsaq,5,57,60.91,-68.31,39.34,10.51
Kudahuvadhoo,0,57,2.67,-68.31,83.95,7.61
Cayenne,75,57,4.94,-68.31,87.8,41.03
Oktyabrskoye,92,57,56.73,-68.31,35.08,22.37
Bonthe,8,57,7.53,-68.31,85.84,13.11
Nome,1,57,30.04,-68.31,57.63,38.52
Eureka,90,57,40.8,-68.31,51.78,15.5
Wajima,80,57,37.4,-68.31,46.24,10.36
Torbay,75,57,47.66,-68.31,33.8,74.56
Petatlan,5,57,17.52,-68.31,82.4,5.01
Pisco,0,57,-13.71,-68.31,73.4,20.51
Chapais,1,57,49.78,-68.31,15.8,25.52
Lebu,0,57,-37.62,-68.31,58.12,16.11
Aljezur,92,57,37.31,-68.31,59.2,32.37
Bluff,36,57,-46.6,-68.31,58.12,33.87
Kununurra,0,57,-15.77,-68.31,77.0,22.86
Ixtapa,5,57,20.71,-68.31,73.4,15.5
Pouebo,0,57,-20.4,-68.31,74.77,21.12
Murakami,92,57,38.29,-68.31,37.15,13.35
Pandan,48,57,11.72,-68.31,83.05,36.13
Norwalk,75,57,33.91,-68.31,63.16,7.52
Yafran,0,57,32.06,-68.31,66.85,28.36
Ust-Nera,64,57,64.57,-68.31,1.87,4.36
Qinggang,0,57,28.25,-68.31,53.26,11.12
Puerto Escondido,20,57,15.86,-68.31,87.8,13.02
Wakefield,88,57,-41.41,-68.31,55.24,5.1
Russell,92,57,-35.26,-68.31,64.87,38.39
Great Falls,1,57,47.5,-68.31,50.88,33.53
Eirunepe,76,57,-6.66,-68.31,76.39,6.6
Palkino,0,57,57.54,-68.31,62.6,10.0
Cartagena del Chaira,68,57,1.33,-68.31,80.08,6.85
Bom Jesus,12,57,-9.08,-68.31,88.45,16.62
Korla,0,57,41.76,-68.31,40.75,4.36
